destination : S    weight = 0   path = S

destination : V1    weight = 2   path = V1

destination : V2    weight = 6   path = V2

destination : V3    weight = 5   path = V3

destination : V4    weight = 9   path = S->V3->V4

destination : V5    weight = 9   path = S->V2->V5

destination : V6    weight = 11   path = S->V3->V6

destination : V7    weight = 10   path = S->V2->V5->V7

destination : V8    weight = 10   path = S->V3->V4->V8

destination : V9    weight = 8   path = S->V1->V9

destination : V10    weight = 13   path = S->V3->V4->V8->V10

destination : T    weight = 9   path = S->V1->V9->T

